Date;Time;Latitude;Longitude;Altitude;Satellites;HDOP;PDOP;Temperature;Speed;TTFF;SNR;tbd
05/31/2018;12:18:01;16.3028533;-89.4208933;558;4;1.8;2.1;21;11;0;;
05/31/2018;12:33:31;16.3028717;-89.4207767;556;4;2.1;2.3;21;28;0;;
05/31/2018;12:48:50;16.326815;-89.4170617;524;5;1.6;1.8;21;18;0;;
05/31/2018;13:04:10;16.3342767;-89.424235;444;5;1.2;1.5;22;19;0;;
05/31/2018;14:58:51;16.34137;-89.417925;522;4;2.3;2.5;27;37;0;;
05/31/2018;15:14:02;16.34972;-89.4227367;542;4;2.2;2.4;28;10;0;;
05/31/2018;15:29:22;16.3499;-89.422635;544;4;2.3;2.5;28;19;0;;
05/31/2018;15:44:32;16.34875;-89.4209933;494;4;2.4;2.5;29;9;0;;
05/31/2018;15:59:44;16.347985;-89.4208533;510;4;2.4;2.6;29;11;0;;
05/31/2018;16:31:48;16.3474517;-89.4205983;512;5;1.3;1.6;30;33;0;;
05/31/2018;16:46:53;16.3471733;-89.4201983;524;5;1.5;1.8;29;4;0;;
05/31/2018;17:01:57;16.3475567;-89.4200917;512;5;1.6;1.9;34;3;0;;
05/31/2018;17:17:10;16.3477167;-89.419515;408;5;1.1;1.4;37;12;0;;
05/31/2018;17:32:18;16.3464433;-89.41897;458;5;1.3;1.6;36;7;0;;
05/31/2018;17:47:38;16.34678;-89.4198733;604;5;1.3;1.5;33;18;0;;
05/31/2018;18:02:49;16.346425;-89.4198133;552;4;1.7;2.0;32;10;0;;
05/31/2018;18:18:00;16.3468117;-89.4200933;496;6;1.1;1.4;33;10;0;;
05/31/2018;18:33:05;16.3360817;-89.4249267;538;6;1.2;1.5;34;4;0;;
05/31/2018;18:48:10;16.33066;-89.4216933;480;6;1.2;1.5;34;4;0;;
05/31/2018;19:03:14;16.3305367;-89.4218733;466;5;1.4;1.7;33;2;0;;
05/31/2018;19:18:18;16.3307567;-89.4214333;650;4;1.5;1.8;33;3;0;;
05/31/2018;19:33:22;16.3306233;-89.4216767;558;5;1.3;1.6;32;3;0;;
