Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature;Speed; TTFF; SNR; tbd
05/26/2018; 05:42:01; ; ; ; ; ; ; ;;;;
05/26/2018; 05:58:32; ; ; ; ; ; ; ;;;;
05/26/2018; 06:15:02; ; ; ; ; ; ; ;;;;
05/26/2018; 06:31:33; ; ; ; ; ; ; ;;;;
05/26/2018; 06:48:03; ; ; ; ; ; ; ;;;;
05/26/2018; 07:04:34; ; ; ; ; ; ; ;;;;
05/26/2018; 07:19:58;16.3341367;-89.42409;552;7;0.9;1.3;27;;24;0;0
05/26/2018; 07:36:29; ; ; ; ; ; ; ;;;;
05/26/2018; 07:52:59; ; ; ; ; ; ; ;;;;
05/26/2018; 08:09:30; ; ; ; ; ; ; ;;;;
05/26/2018; 08:26:00; ; ; ; ; ; ; ;;;;
05/26/2018; 08:42:31; ; ; ; ; ; ; ;;;;
05/26/2018; 08:58:46;16.334305;-89.4242217;482;5;1.3;1.6;26;;63;0;0
05/26/2018; 09:15:17; ; ; ; ; ; ; ;;;;
05/26/2018; 09:31:47; ; ; ; ; ; ; ;;;;
05/26/2018; 09:47:33;16.3342517;-89.4243583;480;5;1.2;1.5;26;;45;0;0
05/26/2018; 10:03:04;16.3341817;-89.4241317;530;5;1.4;1.7;26;;30;0;0
05/26/2018; 10:19:08;16.3340667;-89.4241517;540;5;1.3;1.6;26;;63;0;0
05/26/2018; 10:34:53;16.33442;-89.4243833;524;6;1.1;1.4;26;;44;0;0
05/26/2018; 10:50:40;16.3341183;-89.42436;584;6;1.1;1.4;26;;46;0;0
05/26/2018; 11:07:11; ; ; ; ; ; ; ;;;;
05/26/2018; 11:23:21;16.3341267;-89.4243017;560;5;1.2;1.5;26;;63;0;0
05/26/2018; 11:39:37;16.3341083;-89.4240733;572;5;1;1.4;26;;63;0;0
05/26/2018; 11:55:53;16.334395;-89.4243683;514;4;1.9;2.1;26;;63;0;0
05/26/2018; 12:11:59;16.334225;-89.4241417;526;5;1.5;2.3;26;;63;0;0
05/26/2018; 12:28:27;16.3342233;-89.424325;492;6;1.2;1.5;26;;63;0;0
05/26/2018; 12:44:58; ; ; ; ; ; ; ;;;;
05/26/2018; 13:00:50;16.3342717;-89.4241733;558;6;1.1;1.4;26;;52;0;0
05/26/2018; 13:16:19;16.3340967;-89.42396;540;6;1.2;1.5;26;;28;0;0
05/26/2018; 13:32:50; ; ; ; ; ; ; ;;;;
05/26/2018; 13:48:31;16.3342;-89.424485;480;6;1.3;1.6;26;;41;0;0
05/26/2018; 14:03:44;16.3315783;-89.423145;512;8;0.9;1.2;26;;12;0;0
05/26/2018; 14:19:49;16.3275483;-89.3760583;590;9;1.3;1.5;27;;63;0;0
05/26/2018; 14:34:56;16.326545;-89.3238633;664;6;1.6;2.2;27;;6;0;0
05/26/2018; 14:50:07;16.3251383;-89.325485;660;8;1;1.3;27;;10;0;0
05/26/2018; 15:05:16;16.3223067;-89.3260517;650;8;1;1.2;27;;8;0;0
05/26/2018; 15:20:39;16.3206383;-89.32589;652;9;1.1;1.3;28;;21;0;0
05/26/2018; 15:36:01;16.31995;-89.3257867;640;8;1;1.3;28;;21;0;0
05/26/2018; 15:51:08;16.3201983;-89.3276733;660;7;1.1;1.4;28;;6;0;0
05/26/2018; 16:06:29;16.320275;-89.3276483;674;4;1.6;1.8;30;;20;0;0
05/26/2018; 16:21:34;16.3200033;-89.3280317;694;6;1.4;1.7;32;;5;0;0
