Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature; Speed; TTFF; SNR; tbd
05/20/2018; 12:15:30;16.3529583;-89.4251467;490;6;1.2;1.5;20;72.228;28;0;0
05/20/2018; 12:30:39;16.4351767;-89.4710017;306;6;1.5;1.8;20;16.668;8;0;0
05/20/2018; 12:45:43;16.4408317;-89.503095;374;5;2.1;2.3;21;11.112;3;0;0
05/20/2018; 13:00:50;16.4462717;-89.5308467;424;5;1.9;2.1;21;22.224;6;0;0
05/20/2018; 13:15:54;16.43823;-89.5830917;330;6;1.3;1.6;22;33.336;3;0;0
05/20/2018; 13:31:08;16.4093233;-89.58701;342;4;1.5;1.8;22;0;12;0;0
05/20/2018; 13:46:23;16.4093967;-89.5871133;298;5;1.3;1.6;22;0;14;0;0
05/20/2018; 14:01:30;16.409445;-89.5869333;320;5;1.4;1.7;22;0;6;0;0
05/20/2018; 14:16:37;16.4094117;-89.5872133;240;5;1.4;3;23;0;6;0;0
05/20/2018; 14:31:43;16.4094667;-89.58704;312;6;1.2;1.5;24;0;6;0;0
05/20/2018; 14:46:56;16.4106517;-89.58744;338;4;2.5;2.6;26;0;11;0;0
05/20/2018; 15:02:30;16.410745;-89.5876583;326;7;1.1;1.4;26;0;33;0;0
05/20/2018; 15:17:35;16.4108717;-89.5881033;380;5;3.4;6.6;26;5.556;4;0;0
05/20/2018; 15:32:39;16.4114783;-89.5895433;316;5;1.4;1.6;27;3.704;3;0;0
05/20/2018; 15:47:42;16.4113033;-89.589535;274;5;1.7;2;30;5.556;2;0;0
05/20/2018; 16:02:45;16.4112967;-89.5892367;270;5;1.6;1.9;30;0;2;0;0
05/20/2018; 16:18:34;16.411545;-89.5892667;290;5;1.7;1.9;30;1.852;47;0;0
05/20/2018; 16:33:38;16.4113983;-89.5893233;324;6;1.7;1.9;30;0;4;0;0
05/20/2018; 16:48:45;16.4114;-89.5892883;306;6;1.4;1.7;30;0;5;0;0
05/20/2018; 17:04:31;16.4113283;-89.5894133;286;4;2;2.2;30;1.852;45;0;0
05/20/2018; 17:19:36;16.4113017;-89.58932;322;5;1.8;2;30;0;4;0;0
05/20/2018; 17:34:44;16.4114917;-89.5893533;346;4;2.4;2.5;30;0;7;0;0
05/20/2018; 17:49:52;16.4114067;-89.5892867;292;5;2.2;2.3;30;1.852;6;0;0
05/20/2018; 18:04:56;16.411375;-89.58904;284;4;2.8;2.9;31;0;3;0;0
05/20/2018; 18:20:13;16.411355;-89.589575;332;5;2.7;2.9;31;0;16;0;0
05/20/2018; 18:35:49;16.41122;-89.5893483;354;5;1.4;1.7;31;0;35;0;0
05/20/2018; 18:50:53;16.4114283;-89.5895717;326;6;1.1;1.4;31;1.852;3;0;0
05/20/2018; 19:05:59;16.4114333;-89.5895767;320;6;1.1;1.4;32;0;6;0;0
05/20/2018; 19:21:10;16.4113533;-89.5893833;344;5;1.3;1.6;31;0;10;0;0
05/20/2018; 19:36:16;16.41139;-89.5894883;326;5;1.3;1.6;31;0;4;0;0
05/20/2018; 19:51:23;16.4115417;-89.5893483;334;5;1.3;1.6;31;0;6;0;0
05/20/2018; 20:06:28;16.4115;-89.5899433;232;5;1.3;1.6;31;3.704;4;0;0
05/20/2018; 20:21:44;16.4116117;-89.5897783;266;4;1.4;1.7;31;0;15;0;0
05/20/2018; 20:36:55;16.411765;-89.58918;404;4;1.5;1.7;31;0;10;0;0
05/20/2018; 20:52:30;16.411585;-89.5896183;308;8;0.9;1.2;32;0;34;0;0
05/20/2018; 21:07:33;16.4114717;-89.5893383;306;6;1.5;1.7;32;0;2;0;0
05/20/2018; 21:22:38;16.411225;-89.5892067;280;6;1.5;1.8;33;1.852;3;0;0
05/20/2018; 21:37:42;16.411465;-89.58933;302;6;1.2;1.5;30;0;3;0;0
05/20/2018; 21:52:47;16.411565;-89.5892533;322;5;1.7;2;29;0;4;0;0
05/20/2018; 22:07:50;16.41121;-89.589575;276;5;1.9;2.1;29;0;2;0;0
05/20/2018; 22:23:25;16.4114133;-89.589395;316;6;1.2;1.5;28;0;34;0;0
05/20/2018; 22:38:30;16.41139;-89.5893117;322;5;1.4;1.7;27;0;4;0;0
05/20/2018; 22:53:39;16.41197;-89.5905517;-236;6;1.1;1.5;26;0;8;0;0
05/20/2018; 23:08:50;16.4115583;-89.589585;232;6;1.1;1.5;26;0;10;0;0
05/20/2018; 23:23:56;16.411455;-89.5892967;344;6;1.3;1.6;26;0;5;0;0
05/20/2018; 23:38:59;16.4112183;-89.5891133;462;6;1.2;1.5;26;0;2;0;0
05/20/2018; 23:54:05;16.41145;-89.5892917;300;5;1.6;1.9;26;3.704;4;0;0
05/21/2018; 00:09:10;16.411425;-89.5894083;308;7;1.1;1.4;26;0;4;0;0
05/21/2018; 00:24:13;16.41146;-89.5890767;296;6;1.2;1.5;25;1.852;2;0;0
05/21/2018; 00:39:18;16.4116417;-89.5891467;300;6;1.3;1.6;26;0;4;0;0
05/21/2018; 00:54:23;16.4114967;-89.5893833;318;6;1.4;1.7;28;1.852;4;0;0
05/21/2018; 01:09:38;16.4107733;-89.5904933;300;6;1.5;1.8;26;7.408;13;0;0
05/21/2018; 01:24:41;16.4100683;-89.5911783;384;5;1.7;2;25;0;2;0;0
05/21/2018; 01:39:46;16.4114083;-89.5922817;260;6;1.9;2.1;26;5.556;4;0;0
05/21/2018; 01:55:10;16.4082367;-89.59211;300;5;2.1;2.3;25;5.556;23;0;0
05/21/2018; 02:10:33;16.4115617;-89.5896033;298;5;2.2;2.4;25;0;22;0;0
05/21/2018; 02:26:03;16.4110667;-89.58907;248;4;1.8;2;25;1.852;29;0;0
