Date;Time;Latitude;Longitude;Altitude;Satellites;HDOP;PDOP;Temperature;Speed;TTFF;SNR;tbd
05/31/2018,;05:36:25;16.30308;-89.4207533;504;4;1.4;1.7,;26;63;0;;
05/31/2018,;05:52:09;16.3028467;-89.4208117;562;4;1.4;1.7,;26;43;0;;
05/31/2018,;06:07:42;16.303065;-89.4205233;460;4;1.5;1.7,;25;32;0;;
05/31/2018,;06:22:56;16.3029883;-89.4207383;530;4;1.6;1.8,;25;13;0;;
05/31/2018,;06:38:30;16.302975;-89.4206667;484;4;2.0;2.2,;25;33;0;;
05/31/2018,;06:53:50;16.3030917;-89.4203333;590;4;2.0;2.2,;24;19;0;;
05/31/2018,;07:09:25;16.3030817;-89.4206817;478;4;2.1;2.3,;24;34;0;;
05/31/2018,;07:25:00;16.3027783;-89.4210267;394;5;1.4;1.7,;24;35;0;;
05/31/2018,;07:40:14;16.303105;-89.4205783;522;4;1.7;2.0,;24;13;0;;
05/31/2018,;07:55:54;16.302775;-89.42084;654;4;1.8;2.0,;24;39;0;;
05/31/2018,;08:11:30;16.30314;-89.4204067;422;4;1.6;1.9,;24;35;0;;
05/31/2018,;08:26:43;16.3027217;-89.420615;510;4;1.7;2.0,;24;12;0;;
05/31/2018,;08:41:55;16.3029483;-89.4210233;612;4;1.9;2.1,;24;11;0;;
05/31/2018,;08:57:25;16.3028517;-89.420295;484;5;2.1;2.3,;24;28;0;;
05/31/2018,;09:12:38;16.3032483;-89.4203483;566;4;2.4;2.6,;24;12;0;;
05/31/2018,;09:27:51;16.3028667;-89.42053;542;5;2.3;2.5,;24;12;0;;
05/31/2018,;09:43:02;16.3029333;-89.420515;452;4;4.2;4.3,;23;10;0;;
05/31/2018,;09:58:30;16.3030867;-89.4213183;410;6;1.7;2.0,;23;27;0;;
05/31/2018,;10:13:38;16.3028017;-89.420445;528;5;2.1;2.3,;23;7;0;;
05/31/2018,;10:28:50;16.3030183;-89.4208967;492;5;2.2;2.4,;23;11;0;;
05/31/2018,;10:44:06;16.3030867;-89.4207667;476;5;2.2;2.4,;23;14;0;;
05/31/2018,;10:59:24;16.3031383;-89.4205667;550;5;2.2;2.4,;23;17;0;;
05/31/2018,;11:14:38;16.303585;-89.4190917;766;5;2.2;2.4,;23;13;0;;
05/31/2018,;11:29:53;16.3031917;-89.4203917;512;4;3.4;3.5,;22;14;0;;
05/31/2018,;11:45:01;16.3035017;-89.4205617;510;5;1.6;1.9,;22;7;0;;
05/31/2018,;12:00:29;16.3028867;-89.4206133;494;4;2.9;3.0,;22;27;0;;
05/31/2018,;12:15:37;16.303145;-89.4205533;522;5;1.2;1.5,;22;7;0;;
05/31/2018,;12:30:47;16.302795;-89.42045;572;5;1.3;1.7,;22;9;0;;
05/31/2018,;12:45:50;16.3211683;-89.41244;512;5;1.2;1.5,;23;2;0;;
05/31/2018,;13:00:53;16.3316767;-89.42261;528;5;1.2;1.5,;24;2;0;;
