Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR, tbd
01/22/2019, 18:20:47, , , , , , , , Switch ON manually
01/22/2019, 18:37:18, , , , , , , , No position found
01/22/2019, 18:53:49, , , , , , , , No position found
01/22/2019, 19:10:19, , , , , , , , No position found
01/22/2019, 19:26:50, , , , , , , , No position found
01/22/2019, 19:43:20, , , , , , , , No position found
01/22/2019, 19:59:51, , , , , , , , No position found
01/22/2019, 20:16:21, , , , , , , , No position found
01/22/2019, 20:32:52, , , , , , , , No position found
01/22/2019, 20:49:22, , , , , , , , No position found
01/22/2019, 21:05:53, , , , , , , , No position found
01/22/2019, 21:22:23, , , , , , , , No position found
01/22/2019, 21:38:54, , , , , , , , No position found
01/22/2019, 21:55:24, , , , , , , , No position found
01/22/2019, 22:11:55, , , , , , , , No position found
01/22/2019, 22:28:25, , , , , , , , No position found
01/22/2019, 22:44:55, , , , , , , , No position found
01/22/2019, 23:01:26, , , , , , , , No position found
01/22/2019, 23:17:56, , , , , , , , No position found
01/22/2019, 23:34:27, , , , , , , , No position found
01/22/2019, 23:50:57, , , , , , , , No position found
01/23/2019, 00:07:28, , , , , , , , No position found
01/23/2019, 00:23:58, , , , , , , , No position found
01/23/2019, 00:40:29, , , , , , , , No position found
01/23/2019, 00:56:59, , , , , , , , No position found
01/23/2019, 01:13:30, , , , , , , , No position found
01/23/2019, 01:30:00, , , , , , , , No position found
01/23/2019, 01:46:31, , , , , , , , No position found
01/23/2019, 02:03:01, , , , , , , , No position found
01/23/2019, 02:19:32, , , , , , , , No position found
01/23/2019, 02:36:02, , , , , , , , No position found
01/23/2019, 02:52:32, , , , , , , , No position found
01/23/2019, 03:09:03, , , , , , , , No position found
01/23/2019, 03:25:33, , , , , , , , No position found
01/23/2019, 03:42:04, , , , , , , , No position found
01/23/2019, 03:58:34, , , , , , , , No position found
01/23/2019, 04:15:05, , , , , , , , No position found
01/23/2019, 04:31:35, , , , , , , , No position found
01/23/2019, 04:48:06, , , , , , , , No position found
01/23/2019, 05:04:36, , , , , , , , No position found
01/23/2019, 05:21:07, , , , , , , , No position found
01/23/2019, 05:37:37, , , , , , , , No position found
01/23/2019, 05:54:08, , , , , , , , No position found
01/23/2019, 06:10:38, , , , , , , , No position found
01/23/2019, 06:27:09, , , , , , , , No position found
01/23/2019, 06:43:39, , , , , , , , No position found
01/23/2019, 07:00:10, , , , , , , , No position found
01/23/2019, 07:16:40, , , , , , , , No position found
01/23/2019, 07:33:10, , , , , , , , No position found
01/23/2019, 07:49:41, , , , , , , , No position found
01/23/2019, 08:06:11, , , , , , , , No position found
01/23/2019, 08:22:42, , , , , , , , No position found
01/23/2019, 08:39:12, , , , , , , , No position found
01/23/2019, 08:55:43, , , , , , , , No position found
01/23/2019, 09:12:13, , , , , , , , No position found
01/23/2019, 09:28:44, , , , , , , , No position found
01/23/2019, 09:45:14, , , , , , , , No position found
01/23/2019, 10:01:45, , , , , , , , No position found
01/23/2019, 10:18:15, , , , , , , , No position found
01/23/2019, 10:34:46, , , , , , , , No position found
01/23/2019, 10:51:16, , , , , , , , No position found
01/23/2019, 11:07:47, , , , , , , , No position found
01/23/2019, 11:24:17, , , , , , , , No position found
01/23/2019, 11:40:48, , , , , , , , No position found
01/23/2019, 11:57:18, , , , , , , , No position found
01/23/2019, 12:13:48, , , , , , , , No position found
01/23/2019, 12:30:19, , , , , , , , No position found
01/23/2019, 12:46:49, , , , , , , , No position found
01/23/2019, 13:03:20, , , , , , , , No position found
01/23/2019, 13:19:50, , , , , , , , No position found
01/23/2019, 13:36:21, , , , , , , , No position found
01/23/2019, 13:52:51, , , , , , , , No position found
01/23/2019, 14:09:22, , , , , , , , No position found
01/23/2019, 14:25:52, , , , , , , , No position found
