Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR, tbd
01/24/2019, 19:56:26, , , , , , , , Switch ON manually
01/24/2019, 20:12:12, 1.74143, 33.62067, 162, 3, 5.4, 5.5, 29, 0, 40, 0, 0
01/24/2019, 20:12:12, , , , , , , , Battery Voltage =  4.14V
01/24/2019, 20:27:42, 1.7392067, 33.6195067, 164, 3, 3.8, 4.0, 30, 1.852, 29, 0, 0
01/24/2019, 20:43:27, 1.7449317, 33.615085, 1086, 4, 2.9, 3.0, 29, 0, 44, 0, 0
01/24/2019, 20:59:21, 1.7447533, 33.6149967, 1080, 4, 2.6, 2.7, 29, 0, 53, 0, 0
01/24/2019, 21:14:35, 1.7449, 33.6149583, 1086, 4, 6.0, 6.1, 29, 0, 13, 0, 0
01/24/2019, 21:14:35, , , , , , , , Battery Voltage =  4.14V
01/24/2019, 21:30:01, 1.7449567, 33.61503, 1144, 4, 3.4, 3.6, 29, 0, 25, 0, 0
01/24/2019, 21:45:04, 1.7447133, 33.6150633, 1136, 4, 2.7, 2.9, 29, 0, 2, 0, 0
01/24/2019, 22:00:26, 1.7446983, 33.6150917, 1034, 4, 1.4, 1.7, 29, 0, 20, 0, 0
01/24/2019, 22:00:26, , , , , , , , Battery Voltage =  4.14V
01/24/2019, 22:16:08, 1.7447683, 33.6151033, 1080, 4, 1.8, 2.1, 29, 0, 41, 0, 0
01/24/2019, 22:31:20, 1.7450133, 33.61517, 1144, 4, 1.5, 1.8, 29, 5.556, 11, 0, 0
01/24/2019, 22:46:27, 1.7446, 33.61511, 1000, 5, 1.0, 1.4, 29, 0, 7, 0, 0
01/24/2019, 23:01:43, 1.744795, 33.6150967, 1064, 3, 3.4, 3.6, 29, 0, 14, 0, 0
01/24/2019, 23:01:43, , , , , , , , Battery Voltage =  4.14V
01/24/2019, 23:17:07, 1.7449417, 33.614865, 1064, 5, 1.0, 1.4, 29, 0, 23, 0, 0
01/24/2019, 23:32:23, 1.74517, 33.6151783, 1146, 4, 1.3, 1.6, 29, 0, 14, 0, 0
01/24/2019, 23:47:34, 1.74502, 33.614715, 1078, 5, 1.1, 1.4, 29, 0, 11, 0, 0
01/25/2019, 00:02:50, 1.7451917, 33.61495, 1068, 4, 1.5, 1.8, 29, 0, 16, 0, 0
01/25/2019, 00:02:50, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 00:18:32, 1.74478, 33.6151183, 1094, 7, 1.1, 1.4, 29, 1.852, 40, 0, 0
01/25/2019, 00:33:43, 1.74514, 33.6152433, 1188, 4, 1.8, 2.1, 29, 1.852, 10, 0, 0
01/25/2019, 00:48:56, 1.7447717, 33.6150067, 1074, 6, 1.5, 1.8, 29, 0, 12, 0, 0
01/25/2019, 01:04:07, 1.744765, 33.615125, 1116, 4, 2.3, 2.5, 29, 0, 10, 0, 0
01/25/2019, 01:04:07, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 01:19:20, 1.7450567, 33.6153167, 1132, 4, 2.3, 2.5, 29, 0, 12, 0, 0
01/25/2019, 01:34:31, 1.74481, 33.6150533, 1108, 5, 1.4, 1.7, 29, 0, 11, 0, 0
01/25/2019, 01:49:47, 1.7447817, 33.614815, 1070, 6, 1.1, 1.4, 29, 1.852, 15, 0, 0
01/25/2019, 02:05:00, 1.744755, 33.61523, 1112, 5, 1.2, 1.6, 29, 0, 13, 0, 0
01/25/2019, 02:05:00, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 02:20:42, 1.7449633, 33.6150483, 1112, 7, 1.0, 1.3, 29, 0, 41, 0, 0
01/25/2019, 02:35:55, 1.74516, 33.6157917, 1124, 5, 1.5, 1.7, 28, 0, 13, 0, 0
01/25/2019, 02:51:03, 1.7446433, 33.6149783, 1072, 6, 1.1, 1.4, 28, 0, 8, 0, 0
01/25/2019, 03:06:15, 1.7450617, 33.6149867, 1102, 6, 1.0, 1.3, 28, 0, 11, 0, 0
01/25/2019, 03:06:15, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 03:21:39, 1.74486, 33.615025, 1096, 5, 1.1, 1.4, 28, 0, 24, 0, 0
01/25/2019, 03:36:55, 1.74508, 33.6150633, 1134, 4, 1.6, 1.8, 28, 1.852, 15, 0, 0
01/25/2019, 03:52:29, 1.7446833, 33.6150533, 1140, 5, 1.1, 1.5, 28, 0, 34, 0, 0
01/25/2019, 04:07:43, 1.7456233, 33.61505, 1308, 5, 1.2, 1.6, 28, 0, 13, 0, 0
01/25/2019, 04:07:43, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 04:23:25, 1.74492, 33.615065, 1132, 9, 0.9, 1.2, 28, 0, 41, 0, 0
01/25/2019, 04:38:37, 1.74494, 33.61523, 1076, 6, 2.8, 3.0, 28, 0, 12, 0, 0
01/25/2019, 04:53:49, 1.745005, 33.6151683, 1098, 6, 1.4, 1.7, 28, 3.704, 11, 0, 0
01/25/2019, 05:09:06, 1.74454, 33.61504, 1070, 6, 2.3, 2.4, 28, 0, 16, 0, 0
01/25/2019, 05:09:06, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 05:24:33, 1.744725, 33.6150483, 1094, 6, 1.2, 1.5, 28, 0, 26, 0, 0
01/25/2019, 05:39:49, 1.7449283, 33.61551, 1106, 5, 2.2, 2.4, 28, 3.704, 15, 0, 0
01/25/2019, 05:54:54, 1.7229917, 33.6129317, 1126, 6, 1.5, 1.8, 28, 44.448, 5, 0, 0
01/25/2019, 06:10:10, 1.7119817, 33.6286017, 1114, 8, 1.1, 1.4, 28, 0, 15, 0, 0
01/25/2019, 06:10:10, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 06:25:51, 1.7119467, 33.628715, 1104, 11, 0.8, 1.1, 29, 0, 40, 0, 0
01/25/2019, 06:40:54, 1.7119817, 33.6284817, 1136, 7, 1.1, 1.5, 30, 0, 3, 0, 0
01/25/2019, 06:56:00, 1.7099867, 33.6268733, 1116, 7, 1.2, 1.5, 30, 0, 5, 0, 0
01/25/2019, 07:11:04, 1.7102383, 33.6274467, 1106, 7, 1.3, 1.6, 30, 1.852, 4, 0, 0
01/25/2019, 07:11:05, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 07:26:09, 1.710185, 33.6275417, 1110, 9, 1.0, 1.3, 30, 0, 4, 0, 0
01/25/2019, 07:41:14, 1.7103383, 33.6275083, 1120, 7, 1.0, 1.3, 30, 0, 5, 0, 0
01/25/2019, 07:56:20, 1.7099567, 33.6276, 1120, 8, 0.9, 1.3, 30, 0, 5, 0, 0
01/25/2019, 08:11:25, 1.7100983, 33.6276367, 1100, 6, 1.3, 1.5, 30, 0, 5, 0, 0
01/25/2019, 08:11:26, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 08:27:07, 1.709795, 33.6271333, 1112, 10, 0.9, 1.2, 30, 0, 41, 0, 0
01/25/2019, 08:42:13, 1.709845, 33.6271517, 1108, 5, 1.8, 2.1, 30, 0, 6, 0, 0
01/25/2019, 08:57:21, 1.7103217, 33.6272417, 1110, 7, 1.3, 1.6, 30, 0, 7, 0, 0
01/25/2019, 09:12:28, 1.7099783, 33.626885, 1102, 6, 1.5, 1.8, 30, 3.704, 7, 0, 0
01/25/2019, 09:12:28, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 09:27:32, 1.7097133, 33.626575, 1100, 6, 1.4, 1.6, 30, 22.224, 3, 0, 0
01/25/2019, 09:42:35, 1.7098317, 33.62687, 1160, 5, 1.6, 1.9, 30, 0, 3, 0, 0
01/25/2019, 09:57:42, 1.70982, 33.62691, 1124, 6, 1.4, 1.7, 31, 1.852, 6, 0, 0
01/25/2019, 10:12:51, 1.71438, 33.629285, 1126, 5, 1.7, 2.0, 30, 5.556, 9, 0, 0
01/25/2019, 10:12:52, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 10:28:33, 1.714155, 33.6290183, 1034, 5, 1.7, 1.9, 31, 1.852, 41, 0, 0
01/25/2019, 10:43:50, 1.7145217, 33.629055, 1106, 3, 4.8, 4.9, 32, 1.852, 17, 0, 0
01/25/2019, 10:58:56, 1.71412, 33.6290617, 1058, 5, 2.4, 2.6, 32, 0, 5, 0, 0
01/25/2019, 11:15:26, , , , , , , , No position found
01/25/2019, 11:15:26, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 11:30:54, 1.7139717, 33.62892, 1058, 4, 2.5, 2.7, 30, 3.704, 26, 0, 0
01/25/2019, 11:45:57, 1.7136867, 33.6287967, 1002, 5, 1.8, 2.0, 31, 0, 2, 0, 0
01/25/2019, 12:01:19, 1.714325, 33.629175, 1114, 5, 1.6, 1.9, 31, 1.852, 22, 0, 0
01/25/2019, 12:01:20, , , , , , , , Battery Voltage =  4.14V
01/25/2019, 12:16:31, 1.7144967, 33.6293567, 1176, 5, 1.4, 1.7, 32, 0, 10, 0, 0
