Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature [C]; Speed [km/h]; TTFF; SNR; tbd
08/01/2018; 04:18:02; -8.6827767; 122.3446933;570;5; 1.4; 1.7;28;0;15;0;0
08/01/2018; 04:33:12; -8.6826633; 122.34451;520;6; 1.2; 1.5;31;0;10;0;0
08/01/2018; 04:48:24; -8.6827117; 122.3443883;552;7; 1.0; 1.4;31; 1.852;10;0;0
08/01/2018; 05:04:55; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 05:20:09; -8.6827867; 122.345065;668;6; 1.1; 1.4;30;0;14;0;0
08/01/2018; 05:36:39; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 05:51:45; -8.68198; 122.34399;560;5; 1.2; 1.5;30;0;4;0;0
08/01/2018; 06:07:01; -8.6824867; 122.3452017;592;6; 1.1; 1.4;30;0;15;0;0
08/01/2018; 06:23:32; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 06:40:02; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 06:56:21; -8.6826217; 122.3450467;696;6; 1.1; 1.5;29;0;63;0;0
08/01/2018; 07:12:10; -8.682745; 122.3448633;734;6; 1.1; 1.5;29; 1.852;48;0;0
08/01/2018; 07:28:30; -8.6825917; 122.3449267;598;6; 1.2; 1.5;30;0;63;0;0
08/01/2018; 07:45:00; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 08:00:04; -8.6823683; 122.3445217;544;7; 1.0; 1.4;28;0;3;0;0
08/01/2018; 08:16:35; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 08:31:39; -8.68223; 122.3447933;580;6; 1.3; 1.6;28; 1.852;3;0;0
08/01/2018; 08:46:43; -8.6822783; 122.344625;608;7; 1.1; 1.4;29;0;3;0;0
08/01/2018; 09:02:06; -8.682475; 122.34487;628;6; 1.2; 1.5;28;0;22;0;0
08/01/2018; 09:17:24; -8.6824883; 122.3448367;608;6; 1.2; 1.5;29;0;17;0;0
08/01/2018; 09:33:11; -8.6825483; 122.34489;582;5; 3.5; 6.0;28;0;46;0;0
08/01/2018; 09:48:35; -8.68218; 122.3450133;530;4; 1.7; 1.9;30; 3.704;23;0;0
08/01/2018; 10:04:55; -8.68291; 122.3432083;710;5; 2.1; 4.5;30; 3.704;63;0;0
08/01/2018; 10:20:17; -8.6825583; 122.3449417;616;4; 2.0; 2.3;29; 3.704;20;0;0
08/01/2018; 10:36:05; -8.6824967; 122.3448083;658;4; 2.1; 2.3;29; 5.556;47;0;0
08/01/2018; 10:52:36; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 11:08:41; -8.6826017; 122.3448317;574;4; 2.1; 2.3;28; 1.852;63;0;0
08/01/2018; 11:25:12; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 11:41:42; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 11:58:13; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 12:14:43; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 12:31:14; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 12:47:44; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 13:04:15; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 13:20:28; -8.6826567; 122.3448367;592;5; 1.1; 1.5;30;0;63;0;0
08/01/2018; 13:36:59; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 13:53:29; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 14:10:00; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 14:26:30; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 14:43:01; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 14:58:43; -8.6825017; 122.3449417;594;5; 1.1; 1.4;31;0;42;0;0
08/01/2018; 15:14:21; -8.6824917; 122.3446633;538;6; 1.0; 1.4;29;0;37;0;0
08/01/2018; 15:30:52; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 15:47:22; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 16:03:53; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 16:20:23; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 16:36:54; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 16:53:24; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 17:09:55; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 17:25:48; -8.682575; 122.3448683;602;6; 1.1; 1.4;28;0;53;0;0
08/01/2018; 17:41:48; -8.6825917; 122.3449333;636;6; 1.2; 1.5;28; 1.852;59;0;0
08/01/2018; 17:57:10; -8.6826417; 122.3449083;572;6; 1.2; 1.5;28;0;21;0;0
08/01/2018; 18:13:41; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 18:30:11; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 18:46:42; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 19:02:18; -8.682395; 122.3448767;492;6; 1.2; 1.5;27;0;36;0;0
08/01/2018; 19:18:48; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 19:34:47; -8.6823433; 122.3452167;532;6; 1.3; 1.6;25;0;57;0;0
08/01/2018; 19:51:18; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 20:07:48; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 20:24:18; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 20:40:49; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 20:57:19; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 21:13:43; -8.68255; 122.3449767;634;6; 1.6; 1.8;27;0;63;0;0
08/01/2018; 21:29:24; -8.68251; 122.3446867;608;6; 1.1; 1.4;26; 1.852;39;0;0
08/01/2018; 21:44:32; -8.6823683; 122.3446267;596;8; 1.0; 1.3;24;0;7;0;0
08/01/2018; 21:59:38; -8.6826233; 122.3450133;630;6; 1.4; 1.6;23;0;6;0;0
08/01/2018; 22:14:51; -8.68223; 122.34469;562;8; 1.1; 1.4;23; 1.852;12;0;0
08/01/2018; 22:30:00; -8.6821717; 122.3449867;530;7; 1.2; 1.5;26;0;8;0;0
08/01/2018; 22:45:13; -8.6824667; 122.3445983;726;7; 1.2; 1.5;25;0;12;0;0
08/01/2018; 23:00:34; -8.6825233; 122.345015;590;6; 1.8; 2.0;26; 5.556;20;0;0
08/01/2018; 23:16:35; -8.6825417; 122.3450083;618;6; 1.4; 1.7;27; 1.852;60;0;0
08/01/2018; 23:32:46; -8.682815; 122.3445017;644;6; 1.3; 1.6;26;0;63;0;0
08/01/2018; 23:48:07; -8.681735; 122.3463717;526;6; 1.3; 1.6;30; 1.852;21;0;0
08/02/2018; 00:04:37; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 00:21:08; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 00:36:16; -8.6832067; 122.345155;458;6; 1.7; 1.9;28;0;6;0;0
08/02/2018; 00:51:28; -8.682665; 122.3446367;568;7; 1.4; 1.7;26; 1.852;11;0;0
08/02/2018; 01:06:43; -8.682605; 122.3448717;600;9; 0.9; 1.3;26;0;14;0;0
08/02/2018; 01:22:11; -8.6825233; 122.3448333;574;6; 1.7; 1.9;30; 3.704;27;0;0
08/02/2018; 01:37:18; -8.68242; 122.3448817;504;7; 0.9; 1.3;29;0;6;0;0
08/02/2018; 01:53:48; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 02:09:37; -8.6823967; 122.3448267;612;6; 1.1; 1.4;30;0;47;0;0
08/02/2018; 02:26:07; -8.6824183; 122.344795;620;6; 1.1; 1.5;30; 1.852;63;0;0
08/02/2018; 02:41:28; -8.68273; 122.3446683;680;6; 1.2; 1.5;29;0;19;0;0
08/02/2018; 02:56:43; -8.68243; 122.3449467;632;7; 1.2; 1.5;26;0;15;0;0
08/02/2018; 03:13:13; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 03:28:21; -8.6827133; 122.3452067;604;6; 1.6; 1.8;27;0;6;0;0
08/02/2018; 03:43:57; -8.6823317; 122.3448783;592;6; 1.1; 1.5;27; 1.852;35;0;0
08/02/2018; 03:59:48; -8.6823517; 122.344805;590;6; 1.1; 1.4;29; 1.852;50;0;0
08/02/2018; 04:15:30; -8.6826583; 122.3448067;532;6; 1.1; 1.5;33; 1.852;41;0;0
08/02/2018; 04:32:01; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 04:48:31; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 05:05:02; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 05:20:28; -8.6825983; 122.3447717;594;6; 1.2; 1.5;31;0;26;0;0
08/02/2018; 05:36:58; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 05:52:42; -8.68263; 122.3450217;586;6; 1.1; 1.4;29; 1.852;42;0;0
08/02/2018; 06:07:55; -8.6818983; 122.343815;466;6; 1.1; 1.4;28; 3.704;12;0;0
08/02/2018; 06:23:15; -8.68309; 122.34561;776;6; 1.1; 1.4;29;0;18;0;0
08/02/2018; 06:39:11; -8.6825067; 122.3450067;654;7; 1.0; 1.4;27; 1.852;55;0;0
08/02/2018; 06:54:17; -8.68298; 122.3449167;704;6; 1.1; 1.5;26; 1.852;5;0;0
08/02/2018; 07:10:47; -8.6821767; 122.3452467;374;6; 1.1; 1.5;28;0;63;0;0
08/02/2018; 07:27:18; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 07:42:26; -8.6822867; 122.3445883;590;6; 1.2; 1.4;27;0;8;0;0
08/02/2018; 07:58:56; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 08:14:45; -8.6822417; 122.3448667;636;6; 1.4; 1.7;28; 1.852;47;0;0
08/02/2018; 08:31:16; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 08:47:46; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 09:03:31; -8.6826117; 122.3447633;612;6; 1.1; 1.4;28; 1.852;44;0;0
08/02/2018; 09:18:38; -8.6824817; 122.3447833;616;6; 1.1; 1.4;27;0;6;0;0
08/02/2018; 09:33:57; -8.68221; 122.3445367;548;6; 1.3; 3.0;26;0;18;0;0
08/02/2018; 09:49:28; -8.6822233; 122.3448633;710;6; 1.1; 1.4;26; 1.852;29;0;0
08/02/2018; 10:04:52; -8.6823367; 122.3447583;612;6; 1.2; 1.5;26;0;23;0;0
08/02/2018; 10:21:17; -8.6822417; 122.3450717;620;6; 1.4; 1.6;28; 1.852;63;0;0
08/02/2018; 10:37:21; -8.682265; 122.344855;564;5; 1.4; 1.7;26;0;62;0;0
08/02/2018; 10:52:41; -8.6825067; 122.3447917;518;6; 1.4; 1.7;27; 1.852;20;0;0
08/02/2018; 11:08:19; -8.6825283; 122.3448083;536;5; 1.6; 1.8;28; 1.852;36;0;0
08/02/2018; 11:24:49; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 11:41:20; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 11:57:19; -8.6826983; 122.34475;544;4; 1.5; 1.8;27;0;58;0;0
08/02/2018; 12:13:22; -8.6828667; 122.3448533;588;5; 1.2; 1.5;26; 1.852;62;0;0
08/02/2018; 12:29:52; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 12:45:49; -8.6828967; 122.3448133;682;5; 1.2; 1.5;35;0;56;0;0
08/02/2018; 13:01:18; -8.68273; 122.3448333;604;5; 1.3; 6.7;29;0;27;0;0
08/02/2018; 13:16:55; -8.6825167; 122.3447833;638;5; 2.1; 2.3;27; 3.704;36;0;0
08/02/2018; 13:32:42; -8.6823333; 122.344685;616;6; 1.1; 1.4;26;0;46;0;0
08/02/2018; 13:49:12; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 14:05:43; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 14:21:08; -8.6826267; 122.3448733;572;6; 1.2; 1.5;28; 3.704;24;0;0
08/02/2018; 14:37:38; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 14:53:55; -8.68266; 122.3451;598;5; 1.4; 1.6;28; 1.852;63;0;0
08/02/2018; 15:10:26; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 15:26:57; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 15:43:27; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 15:59:58; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 16:15:57; -8.68243; 122.344995;674;6; 1.2; 1.5;32;0;59;0;0
08/02/2018; 16:32:16; -8.682455; 122.3448383;532;6; 1.1; 1.4;29;0;63;0;0
08/02/2018; 16:48:47; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 17:05:17; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 17:21:48; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 17:38:18; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 17:53:57; -8.6826533; 122.3451383;648;6; 1.2; 1.6;27; 1.852;38;0;0
08/02/2018; 18:10:28; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 18:26:59; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 18:43:29; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 18:59:59; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 19:16:30; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 19:33:00; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 19:49:31; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 20:06:01; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 20:22:32; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 20:39:02; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 20:55:33; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 21:12:03; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 21:28:34; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 21:44:18; -8.68258; 122.345435;752;5; 1.3; 1.6;25;0;44;0;0
08/02/2018; 21:59:26; -8.6824617; 122.344615;500;6; 1.1; 1.5;24; 1.852;7;0;0
08/02/2018; 22:14:45; -8.6825283; 122.345485;564;6; 1.2; 1.5;25;0;18;0;0
08/02/2018; 22:31:15; ; ; ; ; ; ; ; No position found;;;
08/02/2018; 22:46:45; -8.682605; 122.3446883;568;9; 1.0; 1.3;28;0;28;0;0
08/02/2018; 23:02:46; -8.6824567; 122.3449117;590;10; 0.9; 1.2;28;0;60;0;0
08/02/2018; 23:18:11; -8.6825783; 122.3448517;562;7; 1.3; 1.5;26; 1.852;25;0;0
08/02/2018; 23:33:40; -8.68252; 122.3450267;626;6; 1.8; 2.0;28; 1.852;27;0;0
08/02/2018; 23:49:44; -8.68262; 122.3449;628;6; 1.3; 1.6;29; 1.852;63;0;0
08/03/2018; 00:05:07; -8.6829667; 122.3448633;548;7; 1.2; 1.4;27;0;22;0;0
08/03/2018; 00:21:38; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 00:38:08; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 00:53:25; -8.6823267; 122.3451283;456;6; 1.5; 1.8;28;0;16;0;0
08/03/2018; 01:09:54; -8.6822967; 122.3453433;94;6; 1.4; 1.7;28; 1.852;63;0;0
08/03/2018; 01:25:15; -8.6823567; 122.3447383;674;6; 1.3; 1.6;28; 1.852;20;0;0
08/03/2018; 01:41:46; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 01:57:10; -8.6822817; 122.3448583;676;6; 1.3; 1.6;28; 3.704;23;0;0
08/03/2018; 02:13:40; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 02:30:11; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 02:45:43; -8.68299; 122.3449967;700;6; 1.2; 1.5;26;0;31;0;0
08/03/2018; 03:01:43; -8.6826383; 122.3450883;628;6; 1.2; 2.9;28;0;59;0;0
08/03/2018; 03:18:13; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 03:34:44; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 03:50:06; -8.6831167; 122.3447983;540;6; 1.0; 1.4;26; 1.852;21;0;0
08/03/2018; 04:06:37; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 04:23:01; -8.6826233; 122.3447867;646;5; 1.3; 1.6;26;0;63;0;0
08/03/2018; 04:38:34; -8.68263; 122.34496;662;6; 1.0; 1.4;27; 3.704;32;0;0
08/03/2018; 04:55:05; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 05:11:35; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 05:27:03; -8.6825933; 122.3448817;582;5; 1.0; 1.4;29;0;27;0;0
08/03/2018; 05:42:13; -8.6821167; 122.3445933;596;6; 1.1; 1.4;28;0;9;0;0
08/03/2018; 05:57:54; -8.682745; 122.3450417;626;6; 0.9; 1.3;27;0;39;0;0
08/03/2018; 06:14:25; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 06:30:19; -8.6823533; 122.3450867;702;6; 1.3; 1.6;30;0;53;0;0
08/03/2018; 06:46:49; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 07:03:20; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 07:19:23; -8.6826733; 122.3446817;590;6; 1.2; 1.5;28; 1.852;62;0;0
08/03/2018; 07:35:44; -8.68201; 122.3454317;506;6; 1.2; 1.5;30; 1.852;63;0;0
08/03/2018; 07:52:14; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 08:08:06; -8.6819183; 122.34493;562;7; 1.3; 1.5;30;0;51;0;0
08/03/2018; 08:24:02; -8.68272; 122.3447883;528;6; 1.1; 1.4;30;0;55;0;0
08/03/2018; 08:40:32; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 08:57:03; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 09:12:39; -8.6824367; 122.34472;710;6; 1.1; 1.4;29;0;35;0;0
08/03/2018; 09:28:42; -8.682605; 122.3447933;550;7; 1.0; 1.3;27; 1.852;62;0;0
08/03/2018; 09:44:21; -8.6826833; 122.34488;578;7; 0.9; 1.3;26; 1.852;38;0;0
08/03/2018; 10:00:52; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 10:17:23; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 10:32:50; -8.6821983; 122.3450183;556;7; 1.0; 1.4;27; 1.852;27;0;0
08/03/2018; 10:48:21; -8.681825; 122.345245;502;6; 1.4; 1.7;28; 1.852;30;0;0
08/03/2018; 11:03:44; -8.6823633; 122.344785;580;6; 1.2; 1.5;29;0;22;0;0
08/03/2018; 11:20:14; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 11:36:45; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 11:52:46; -8.6826233; 122.3449533;596;6; 1.1; 1.4;28; 1.852;60;0;0
08/03/2018; 12:09:03; -8.6826583; 122.3447117;658;5; 1.2; 1.5;28;0;63;0;0
08/03/2018; 12:25:33; ; ; ; ; ; ; ; No position found;;;
08/03/2018; 12:42:04; ; ; ; ; ; ; ; No position found;;;
