Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature [C]; Speed [km/h]; TTFF; SNR; tbd
07/31/2018; 01:05:56; ; ; ; ; ; ; ; Switch ON manually;;;
07/31/2018; 01:22:28; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 01:38:59; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 01:55:29; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 02:11:59; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 02:28:30; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 02:45:00; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 03:01:31; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 03:18:01; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 02:33:44; -8.6304183; 122.2093317;72;6; 1.2; 1.5;28; 1.852;38;0;0
07/31/2018; 02:50:15; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 03:05:46; -8.6295033; 122.23895;-2;4; 1.3; 1.6;27;0;31;0;0
07/31/2018; 03:21:24; -8.642915; 122.2907283;56;4; 1.5; 1.8;28;0;37;0;0
07/31/2018; 03:36:56; -8.6643833; 122.3375533;200;4; 1.5; 1.8;28; 7.408;30;0;0
07/31/2018; 03:52:56; -8.6817817; 122.34482;710;4; 1.6; 1.8;30; 14.816;60;0;0
07/31/2018; 04:09:17; -8.681915; 122.3447983;258;5; 1.3; 1.7;29; 1.852;63;0;0
07/31/2018; 04:24:31; -8.6819267; 122.3454817;664;4; 2.0; 2.2;27; 3.704;13;0;0
07/31/2018; 04:39:44; -8.6819267; 122.34533;614;5; 1.4; 1.7;26; 1.852;11;0;0
07/31/2018; 04:54:50; -8.681795; 122.3463;1148;5; 1.5; 1.7;26;0;6;0;0
07/31/2018; 05:10:23; -8.6821867; 122.3444217;458;4; 1.8; 2.1;26; 11.112;31;0;0
07/31/2018; 05:26:54; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 05:43:24; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 05:59:01; -8.68272; 122.34464;592;5; 1.5; 1.7;33; 7.408;36;0;0
07/31/2018; 06:14:19; -8.681315; 122.3422117;322;5; 1.5; 1.8;29;0;17;0;0
07/31/2018; 06:29:31; -8.6825133; 122.3445417;620;5; 1.6; 1.8;30;0;11;0;0
07/31/2018; 06:46:01; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 07:02:32; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 07:19:02; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 07:35:33; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 07:52:03; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 08:08:33; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 08:24:16; -8.6821617; 122.3449417;596;3; 2.1; 2.4;28; 1.852;41;0;0
07/31/2018; 08:40:47; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 08:56:43; -8.6824733; 122.3449267;626;5; 1.5; 1.7;29; 3.704;56;0;0
07/31/2018; 09:13:13; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 09:29:44; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 09:46:14; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 10:02:45; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 10:19:15; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 10:35:46; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 10:52:16; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 11:08:47; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 11:25:17; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 11:41:48; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 11:58:18; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 12:14:49; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 12:31:19; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 12:47:49; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 13:04:20; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 13:20:50; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 13:37:21; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 13:53:51; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 14:10:22; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 14:26:52; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 14:43:23; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 14:59:53; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 15:16:24; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 15:32:54; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 15:49:25; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 16:05:55; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 16:22:26; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 16:38:56; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 16:55:26; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 17:11:57; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 17:28:27; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 17:44:58; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 18:01:28; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 18:17:59; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 18:34:29; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 18:51:00; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 19:07:17; -8.68274; 122.3449833;642;5; 1.4; 1.6;28;0;63;0;0
07/31/2018; 19:22:53; -8.6826183; 122.34501;608;5; 1.3; 1.6;28; 1.852;35;0;0
07/31/2018; 19:39:24; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 19:55:55; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 20:12:25; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 20:28:56; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 20:45:26; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 21:01:57; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 21:18:27; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 21:34:22; -8.682615; 122.3449983;574;6; 1.2; 1.5;24; 1.852;56;0;0
07/31/2018; 21:50:31; -8.6826883; 122.3451667;650;6; 1.2; 1.5;25;0;63;0;0
07/31/2018; 22:06:01; -8.6827517; 122.3449883;624;5; 1.3; 1.6;26; 1.852;30;0;0
07/31/2018; 22:22:02; -8.6824933; 122.3453967;726;6; 2.0; 3.5;28; 3.704;59;0;0
07/31/2018; 22:37:19; -8.682385; 122.3449367;624;7; 1.1; 1.4;27;0;16;0;0
07/31/2018; 22:52:24; -8.682815; 122.34459;654;6; 1.5; 1.8;27; 1.852;4;0;0
07/31/2018; 23:08:55; ; ; ; ; ; ; ; No position found;;;
07/31/2018; 23:23:58; -8.6819833; 122.345085;588;6; 2.2; 2.4;26; 1.852;3;0;0
07/31/2018; 23:39:06; -8.6824083; 122.34509;542;6; 1.2; 1.5;24; 1.852;6;0;0
07/31/2018; 23:54:15; -8.682; 122.345555;480;5; 1.9; 2.1;24; 12.964;8;0;0
08/01/2018; 00:10:21; -8.6824433; 122.344825;556;7; 1.3; 1.6;25;0;63;0;0
08/01/2018; 00:25:34; -8.6824317; 122.3449733;534;7; 1.3; 1.6;25; 1.852;11;0;0
08/01/2018; 00:42:05; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 00:57:13; -8.6826317; 122.344805;550;5; 2.2; 2.4;26;0;7;0;0
08/01/2018; 01:12:25; -8.6825033; 122.3447933;618;6; 1.1; 1.4;28;0;11;0;0
08/01/2018; 01:27:48; -8.68245; 122.3447467;534;6; 1.3; 1.6;29;0;21;0;0
08/01/2018; 01:44:19; ; ; ; ; ; ; ; No position found;;;
08/01/2018; 02:00:41; -8.6825633; 122.3450033;608;6; 1.2; 1.6;28;0;63;0;0
08/01/2018; 02:15:49; -8.6823967; 122.34494;650;6; 1.2; 1.5;27;0;7;0;0
08/01/2018; 02:31:15; -8.6824967; 122.3452067;582;7; 0.9; 1.2;28;0;24;0;0
08/01/2018; 02:46:25; -8.682505; 122.34484;552;5; 1.3; 1.6;28;0;9;0;0
08/01/2018; 03:01:39; -8.68254; 122.344845;566;5; 1.2; 1.5;28;0;13;0;0
08/01/2018; 03:16:48; -8.6826717; 122.34474;622;7; 1.0; 1.3;29; 1.852;8;0;0
08/01/2018; 03:32:02; -8.6826517; 122.3449;814;5; 1.3; 1.6;29;0;13;0;0
08/01/2018; 03:47:13; -8.6826033; 122.3447033;678;5; 1.3; 1.6;28;0;11;0;0
08/01/2018; 04:02:46; -8.68288; 122.344645;562;6; 1.1; 1.5;28;0;31;0;0
